respondent_id,xyz_vaccine,seasonal_vaccine
26858.0,0.044,0.729
26859.0,0.898,0.844
26861.0,0.101,0.338
26862.0,0.624,0.407
26863.0,0.552,0.863
26864.0,0.009,0.295
26865.0,0.229,0.306
26866.0,0.027,0.874
26867.0,0.002,0.084
26868.0,0.0,0.613
26869.0,0.404,0.543
26871.0,0.055,0.32
26872.0,0.0,0.428
26875.0,0.001,0.338
26877.0,0.011,0.339
26878.0,0.001,0.639
26880.0,0.014,0.085
26881.0,0.855,0.945
26882.0,0.996,0.796
26883.0,0.021,0.164
26886.0,0.885,0.843
26887.0,0.003,0.091
26888.0,0.013,0.793
26890.0,0.976,0.762
26891.0,0.162,0.522
26892.0,0.177,0.329
26893.0,0.914,0.523
26894.0,0.006,0.084
26895.0,0.919,0.813
26896.0,0.033,0.509
26897.0,0.067,0.862
26898.0,0.037,0.69
26899.0,0.991,0.603
26900.0,0.189,0.521
26901.0,0.521,0.286
26902.0,0.135,0.656
26903.0,0.002,0.032
26904.0,0.0,0.043
26905.0,0.145,0.083
26906.0,0.018,0.477
26907.0,0.793,0.406
26909.0,0.046,0.533
26911.0,0.0,0.205
26912.0,0.0,0.142
26913.0,0.006,0.237
26914.0,0.998,0.881
26915.0,0.038,0.579
26916.0,0.004,0.857
26918.0,0.001,0.083
26920.0,0.047,0.199
26921.0,0.032,0.235
26922.0,0.953,0.917
26924.0,0.001,0.233
26925.0,0.988,0.344
26926.0,0.022,0.386
26927.0,0.0,0.101
26929.0,0.042,0.701
26930.0,0.958,0.276
26931.0,0.001,0.765
26932.0,0.765,0.553
26933.0,0.001,0.244
26934.0,0.862,0.876
26935.0,0.014,0.657
26936.0,0.014,0.084
26937.0,0.0,0.067
26938.0,0.042,0.468
26939.0,0.024,0.187
26940.0,0.485,0.844
26941.0,0.65,0.493
26943.0,0.221,0.764
26944.0,0.214,0.306
26945.0,0.0,0.108
26946.0,0.01,0.066
26948.0,0.049,0.278
26949.0,0.017,0.815
26951.0,0.945,0.586
26952.0,0.931,0.893
26955.0,0.031,0.206
26957.0,0.005,0.089
26959.0,0.035,0.395
26960.0,0.013,0.506
26961.0,0.023,0.325
26963.0,0.011,0.152
26964.0,0.998,0.951
26965.0,0.026,0.153
26968.0,0.053,0.183
26969.0,0.009,0.572
26970.0,0.007,0.015
26971.0,0.003,0.843
26972.0,0.214,0.776
26973.0,0.002,0.209
26975.0,0.228,0.359
26976.0,0.193,0.711
26978.0,0.005,0.392
26979.0,0.013,0.604
26980.0,0.967,0.622
26982.0,0.918,0.879
26983.0,0.062,0.113
26984.0,0.001,0.561
26985.0,0.012,0.426
26986.0,0.826,0.691
26987.0,0.0,0.084
26989.0,0.006,0.091
26991.0,0.927,0.904
26992.0,0.005,0.705
26993.0,0.0,0.117
26996.0,0.0,0.061
26997.0,0.029,0.24
26998.0,0.001,0.435
26999.0,0.018,0.347
27000.0,0.034,0.662
27001.0,0.014,0.381
27002.0,0.053,0.598
27005.0,0.576,0.928
27006.0,0.005,0.133
27007.0,0.021,0.479
27008.0,0.015,0.681
27009.0,0.002,0.477
27010.0,0.997,0.748
27011.0,0.995,0.487
27012.0,0.002,0.042
27013.0,0.301,0.733
27014.0,0.75,0.803
27016.0,0.02,0.774
27017.0,0.148,0.279
27018.0,0.084,0.21
27019.0,0.926,0.741
27020.0,0.0,0.025
27021.0,0.14,0.198
27022.0,0.022,0.882
27023.0,0.02,0.176
27024.0,0.084,0.437
27025.0,0.11,0.108
27027.0,0.101,0.314
27028.0,0.0,0.194
27029.0,0.007,0.5
27031.0,0.999,0.723
27032.0,0.915,0.85
27033.0,0.027,0.449
27034.0,0.0,0.147
27035.0,0.867,0.461
27036.0,0.038,0.583
27037.0,0.779,0.814
27038.0,0.845,0.468
27039.0,0.01,0.224
27040.0,0.02,0.587
27041.0,0.004,0.414
27042.0,0.724,0.469
27043.0,0.01,0.35
27044.0,0.996,0.829
27045.0,0.002,0.174
27046.0,0.031,0.638
27048.0,0.759,0.946
27049.0,0.0,0.674
27050.0,0.011,0.028
27054.0,0.111,0.43
27055.0,0.003,0.107
27056.0,0.955,0.868
27057.0,0.939,0.784
27059.0,0.001,0.263
27060.0,0.146,0.44
27062.0,1.0,0.877
27063.0,0.986,0.715
27065.0,0.049,0.345
27066.0,0.001,0.029
27067.0,0.556,0.499
27068.0,0.073,0.869
27069.0,0.618,0.169
27070.0,0.151,0.267
27072.0,0.068,0.779
27073.0,0.001,0.391
27074.0,0.124,0.57
27075.0,0.0,0.437
27076.0,0.006,0.395
27077.0,0.007,0.505
27078.0,0.029,0.275
27079.0,0.334,0.1
27080.0,0.488,0.389
27081.0,0.777,0.898
27082.0,0.99,0.267
27083.0,0.012,0.059
27084.0,0.0,0.297
27085.0,0.92,0.523
27087.0,0.01,0.37
27088.0,0.359,0.447
27089.0,0.035,0.124
27090.0,0.858,0.939
27091.0,0.978,0.956
27092.0,0.018,0.307
27093.0,0.026,0.254
27094.0,0.549,0.275
27095.0,0.974,0.821
27096.0,0.003,0.549
27097.0,0.001,0.675
27098.0,0.988,0.786
27099.0,0.115,0.578
27103.0,0.886,0.824
27104.0,0.873,0.925
27105.0,0.932,0.761
27106.0,0.0,0.441
27107.0,0.101,0.458
27109.0,0.179,0.221
27110.0,0.123,0.736
27111.0,0.0,0.171
27112.0,0.993,0.926
27113.0,0.0,0.06
27115.0,0.0,0.133
27117.0,0.76,0.75
27118.0,0.009,0.397
27119.0,0.033,0.218
27120.0,0.723,0.298
27121.0,0.0,0.057
27124.0,0.936,0.951
27125.0,0.638,0.354
27126.0,0.272,0.262
27127.0,0.024,0.609
27128.0,0.182,0.404
27131.0,0.053,0.158
27132.0,0.0,0.476
27134.0,0.613,0.735
27136.0,0.46,0.919
27137.0,0.928,0.793
27138.0,0.1,0.568
27139.0,0.133,0.127
27140.0,0.001,0.019
27141.0,0.998,0.923
27142.0,0.088,0.915
27143.0,0.601,0.417
27144.0,0.161,0.183
27145.0,0.11,0.49
27146.0,0.009,0.245
27148.0,0.013,0.098
27149.0,0.013,0.135
27150.0,0.24,0.841
27151.0,0.133,0.695
27152.0,0.055,0.29
27155.0,0.997,0.942
27156.0,0.924,0.967
27157.0,0.091,0.71
27158.0,0.379,0.701
27159.0,0.919,0.792
27160.0,0.616,0.641
27161.0,0.019,0.693
27162.0,0.237,0.614
27163.0,0.177,0.08
27164.0,0.002,0.066
27166.0,0.233,0.295
27168.0,0.0,0.266
27170.0,0.001,0.138
27171.0,0.0,0.451
27173.0,0.037,0.358
27175.0,0.005,0.832
27176.0,0.358,0.286
27177.0,0.208,0.853
27178.0,0.0,0.191
27179.0,0.476,0.243
27180.0,0.009,0.254
27182.0,0.986,0.68
27183.0,0.559,0.293
27184.0,0.989,0.818
27185.0,0.051,0.513
27186.0,0.399,0.926
27187.0,0.0,0.074
27188.0,0.754,0.9
27189.0,0.214,0.586
27190.0,0.082,0.275
27191.0,0.19,0.262
27192.0,0.059,0.788
27193.0,0.9,0.914
27194.0,0.0,0.122
27195.0,0.016,0.679
27196.0,0.0,0.328
27197.0,0.009,0.877
27199.0,0.028,0.514
27201.0,0.416,0.283
27202.0,0.88,0.957
27203.0,0.155,0.09
27204.0,0.018,0.157
27206.0,0.541,0.819
27208.0,0.001,0.083
27210.0,0.341,0.439
27211.0,0.903,0.889
27213.0,0.04,0.553
27214.0,0.108,0.239
27216.0,0.549,0.92
27217.0,0.316,0.728
27218.0,0.001,0.055
27219.0,0.054,0.088
27220.0,0.019,0.133
27221.0,0.29,0.657
27222.0,0.503,0.205
27223.0,0.372,0.173
27224.0,0.0,0.302
27225.0,0.213,0.667
27226.0,0.023,0.305
27227.0,0.005,0.105
27228.0,0.016,0.565
27229.0,0.01,0.4
27230.0,0.996,0.96
27231.0,0.965,0.936
27232.0,0.005,0.39
27233.0,0.006,0.059
27234.0,0.15,0.854
27235.0,0.012,0.248
27236.0,0.0,0.13
27237.0,0.007,0.65
27239.0,0.011,0.387
27240.0,0.072,0.546
27241.0,0.017,0.892
27242.0,0.081,0.324
27243.0,0.133,0.728
27244.0,0.82,0.479
27247.0,0.031,0.82
27248.0,0.152,0.153
27250.0,0.996,0.618
27252.0,0.775,0.89
27253.0,0.998,0.284
27254.0,0.087,0.369
27256.0,0.026,0.301
27257.0,0.79,0.849
27258.0,0.05,0.493
27259.0,0.18,0.321
27260.0,0.016,0.468
27261.0,0.003,0.379
27262.0,0.136,0.857
27263.0,0.665,0.741
27264.0,0.015,0.17
27265.0,0.138,0.219
27266.0,0.0,0.078
27267.0,0.099,0.581
27268.0,0.994,0.623
27269.0,0.0,0.199
27270.0,0.0,0.423
27272.0,0.005,0.074
27273.0,0.988,0.865
27274.0,0.09,0.369
27275.0,0.886,0.204
27277.0,0.003,0.291
27278.0,0.152,0.28
27282.0,0.997,0.912
27283.0,0.03,0.265
27284.0,0.0,0.521
27285.0,0.962,0.493
27287.0,0.045,0.332
27288.0,0.569,0.94
27289.0,0.005,0.16
27291.0,0.0,0.434
27292.0,0.048,0.295
27293.0,0.035,0.285
27294.0,0.009,0.146
27295.0,0.061,0.405
27296.0,0.339,0.605
27297.0,0.106,0.463
27298.0,0.132,0.461
27299.0,0.43,0.749
27300.0,0.713,0.659
27301.0,0.003,0.125
27302.0,0.959,0.9
27303.0,0.138,0.954
27304.0,0.0,0.174
27305.0,0.004,0.028
27306.0,0.003,0.022
27307.0,0.002,0.093
27308.0,0.001,0.284
27309.0,0.28,0.907
27311.0,0.001,0.253
27313.0,0.019,0.36
27314.0,0.027,0.127
27319.0,0.012,0.494
27321.0,0.987,0.852
27322.0,0.0,0.203
27323.0,0.025,0.426
27324.0,0.028,0.655
27325.0,0.997,0.767
27326.0,0.092,0.677
27328.0,0.032,0.497
27329.0,0.0,0.064
27331.0,0.017,0.379
27332.0,0.005,0.716
27333.0,0.376,0.525
27334.0,0.567,0.676
27335.0,0.273,0.463
27336.0,0.305,0.63
27337.0,0.006,0.887
27338.0,0.474,0.792
27339.0,0.999,0.896
27340.0,0.988,0.777
27341.0,0.588,0.345
27342.0,0.061,0.565
27343.0,0.321,0.881
27344.0,0.607,0.769
27345.0,0.024,0.261
27346.0,0.0,0.055
27347.0,0.095,0.51
27348.0,0.458,0.823
27349.0,0.397,0.858
27350.0,0.004,0.49
27352.0,0.005,0.399
27353.0,0.0,0.087
27354.0,0.004,0.172
27355.0,0.938,0.771
27357.0,0.512,0.219
27360.0,0.89,0.405
27361.0,0.64,0.746
27362.0,0.0,0.057
27365.0,0.006,0.207
27366.0,0.011,0.235
27368.0,0.014,0.507
27369.0,0.104,0.455
27370.0,0.76,0.615
27371.0,0.06,0.9
27372.0,0.54,0.747
27373.0,0.02,0.064
27374.0,0.076,0.035
27375.0,0.75,0.882
27376.0,0.544,0.495
27377.0,0.03,0.083
27378.0,0.203,0.776
27379.0,0.004,0.491
27380.0,0.131,0.411
27381.0,0.353,0.496
27382.0,0.007,0.152
27383.0,0.379,0.359
27384.0,0.073,0.11
27385.0,0.074,0.061
27386.0,0.14,0.909
27388.0,0.002,0.08
27389.0,0.024,0.525
27390.0,0.121,0.705
27391.0,0.008,0.28
27392.0,0.732,0.424
27393.0,0.011,0.297
27394.0,0.005,0.791
27395.0,0.587,0.861
27396.0,0.059,0.105
27397.0,0.079,0.584
27399.0,0.604,0.692
27401.0,0.299,0.358
27402.0,0.228,0.257
27403.0,0.101,0.334
27404.0,0.091,0.226
27405.0,0.109,0.749
27407.0,0.0,0.051
27408.0,0.917,0.601
27409.0,0.007,0.049
27410.0,0.0,0.11
27413.0,0.0,0.335
27414.0,0.299,0.498
27415.0,0.048,0.359
27418.0,0.02,0.276
27419.0,0.018,0.224
27420.0,0.677,0.301
27422.0,0.007,0.614
27423.0,0.068,0.212
27426.0,0.811,0.484
27427.0,0.0,0.11
27428.0,0.0,0.223
27429.0,0.012,0.324
27430.0,0.003,0.619
27431.0,0.995,0.745
27432.0,0.005,0.558
27433.0,0.992,0.857
27435.0,0.957,0.576
27437.0,0.516,0.483
27441.0,0.119,0.058
27442.0,0.002,0.849
27443.0,0.994,0.886
27444.0,0.034,0.267
27445.0,0.151,0.85
27446.0,0.0,0.079
27447.0,0.207,0.509
27449.0,0.119,0.327
27450.0,0.706,0.94
27451.0,0.181,0.629
27452.0,0.022,0.229
27454.0,0.035,0.722
27455.0,0.0,0.138
27457.0,0.344,0.308
27458.0,0.005,0.13
27460.0,0.006,0.337
27461.0,0.815,0.774
27463.0,0.411,0.215
27464.0,0.024,0.318
27465.0,0.929,0.441
27466.0,0.393,0.848
27468.0,0.016,0.732
27469.0,0.053,0.015
27470.0,0.013,0.542
27471.0,0.018,0.366
27472.0,0.019,0.774
27474.0,0.024,0.083
27475.0,0.29,0.411
27476.0,0.063,0.199
27477.0,0.845,0.358
27478.0,0.001,0.517
27480.0,0.937,0.402
27481.0,0.497,0.031
27482.0,0.001,0.477
27483.0,0.507,0.785
27485.0,0.999,0.439
27487.0,0.007,0.295
27488.0,1.0,0.968
27489.0,0.367,0.87
27491.0,0.003,0.328
27492.0,0.0,0.577
27493.0,0.361,0.756
27494.0,0.88,0.802
27495.0,0.034,0.228
27497.0,0.035,0.504
27498.0,0.971,0.768
27499.0,0.0,0.08
27500.0,0.11,0.638
27501.0,0.037,0.349
27502.0,0.006,0.047
27503.0,0.031,0.205
27504.0,0.096,0.446
27505.0,0.907,0.919
27506.0,0.998,0.811
27509.0,0.201,0.129
27510.0,0.0,0.126
27511.0,0.013,0.381
27514.0,0.001,0.158
27515.0,1.0,0.77
27516.0,0.057,0.903
27517.0,0.002,0.242
27518.0,0.619,0.405
27519.0,0.046,0.335
27520.0,0.008,0.097
27521.0,0.014,0.065
27522.0,0.886,0.578
27524.0,0.014,0.499
27525.0,0.0,0.27
27526.0,0.005,0.299
27527.0,0.093,0.491
27528.0,0.843,0.699
27530.0,0.502,0.858
27531.0,0.001,0.113
27532.0,0.782,0.442
27533.0,0.966,0.843
27534.0,0.299,0.877
27535.0,0.014,0.401
27536.0,0.103,0.33
27538.0,0.879,0.937
27539.0,0.564,0.441
27542.0,0.481,0.311
27543.0,0.57,0.7
27544.0,0.005,0.455
27545.0,0.973,0.763
27548.0,0.84,0.259
27549.0,0.018,0.178
27550.0,0.011,0.088
27551.0,0.839,0.774
27552.0,0.012,0.182
27553.0,0.0,0.219
27554.0,0.0,0.935
27555.0,0.973,0.813
27556.0,0.013,0.49
27557.0,0.0,0.112
27558.0,0.01,0.706
27559.0,0.164,0.579
27560.0,0.936,0.786
27561.0,0.003,0.033
27562.0,0.025,0.15
27563.0,0.046,0.552
27564.0,0.02,0.589
27565.0,0.959,0.776
27566.0,0.01,0.237
27567.0,0.014,0.069
27568.0,0.146,0.182
27569.0,0.0,0.035
27570.0,0.024,0.361
27571.0,0.376,0.075
27572.0,0.025,0.792
27573.0,0.0,0.116
27575.0,0.014,0.132
27576.0,0.001,0.528
27577.0,0.0,0.241
27578.0,0.037,0.07
27579.0,0.989,0.93
27581.0,0.631,0.151
27582.0,0.949,0.758
27583.0,0.413,0.36
27584.0,0.0,0.268
27586.0,0.0,0.129
27587.0,0.991,0.859
27588.0,0.024,0.156
27589.0,0.536,0.787
27590.0,0.567,0.248
27591.0,0.962,0.907
27592.0,0.004,0.212
27595.0,0.008,0.512
27596.0,0.204,0.236
27597.0,0.064,0.46
27599.0,0.024,0.321
27600.0,0.973,0.394
27602.0,0.026,0.318
27603.0,0.403,0.235
27605.0,0.011,0.046
27606.0,0.0,0.26
27607.0,0.007,0.577
27608.0,0.002,0.283
27609.0,0.291,0.174
27610.0,0.016,0.41
27611.0,0.794,0.76
27612.0,0.659,0.664
27613.0,0.577,0.925
27614.0,0.926,0.801
27615.0,0.017,0.374
27616.0,0.159,0.506
27617.0,0.345,0.816
27618.0,0.052,0.505
27619.0,0.226,0.917
27622.0,0.006,0.117
27624.0,0.745,0.836
27625.0,0.171,0.08
27627.0,0.603,0.452
27628.0,0.453,0.821
27629.0,0.929,0.94
27630.0,0.901,0.938
27631.0,0.996,0.915
27632.0,0.23,0.852
27633.0,0.024,0.344
27635.0,0.019,0.423
27636.0,0.124,0.469
27637.0,0.999,0.716
27638.0,0.857,0.503
27639.0,0.982,0.908
27640.0,0.002,0.475
27641.0,0.376,0.02
27642.0,0.106,0.691
27644.0,0.785,0.837
27645.0,0.496,0.432
27646.0,0.0,0.018
27649.0,0.0,0.074
27650.0,0.05,0.174
27651.0,0.002,0.064
27653.0,0.997,0.445
27654.0,0.0,0.236
27655.0,0.001,0.141
27657.0,0.484,0.701
27658.0,0.012,0.025
27659.0,0.009,0.466
27660.0,0.002,0.501
27661.0,0.001,0.091
27662.0,0.909,0.766
27663.0,0.004,0.114
27664.0,0.004,0.258
27665.0,0.063,0.346
27666.0,1.0,0.89
27667.0,0.426,0.561
27668.0,0.005,0.249
27669.0,0.931,0.708
27670.0,0.008,0.304
27672.0,0.028,0.182
27674.0,0.767,0.847
27675.0,0.046,0.339
27676.0,0.551,0.397
27677.0,0.615,0.922
27678.0,0.067,0.029
27679.0,0.0,0.135
27680.0,0.583,0.19
27681.0,0.01,0.276
27683.0,0.066,0.693
27684.0,0.008,0.205
27685.0,0.999,0.826
27686.0,0.0,0.288
27688.0,0.079,0.57
27689.0,0.957,0.297
27691.0,0.009,0.132
27696.0,0.254,0.241
27697.0,0.357,0.452
27698.0,0.003,0.213
27699.0,0.0,0.209
27700.0,0.022,0.492
27702.0,0.55,0.491
27703.0,0.176,0.858
27704.0,0.032,0.548
27705.0,0.322,0.75
27706.0,0.013,0.692
27707.0,0.165,0.836
27708.0,0.0,0.324
27711.0,0.063,0.239
27712.0,0.812,0.866
27714.0,0.0,0.065
27715.0,0.516,0.738
27717.0,0.084,0.361
27718.0,0.919,0.886
27719.0,0.03,0.316
27720.0,0.106,0.594
27721.0,0.005,0.579
27723.0,0.001,0.03
27725.0,0.021,0.457
27727.0,0.005,0.171
27729.0,0.318,0.609
27730.0,0.986,0.972
27731.0,0.008,0.278
27732.0,0.389,0.847
27733.0,0.066,0.035
27736.0,0.0,0.031
27737.0,0.522,0.843
27738.0,0.073,0.639
27739.0,0.0,0.202
27740.0,0.016,0.355
27741.0,0.024,0.828
27742.0,0.076,0.804
27743.0,0.0,0.015
27744.0,0.0,0.128
27745.0,0.051,0.335
27747.0,0.0,0.677
27749.0,0.0,0.109
27750.0,0.997,0.867
27751.0,0.112,0.796
27753.0,0.022,0.47
27754.0,0.023,0.16
27756.0,0.655,0.124
27757.0,0.108,0.572
27758.0,0.34,0.22
27760.0,0.968,0.567
27761.0,0.0,0.142
27762.0,0.894,0.9
27763.0,0.99,0.942
27764.0,0.0,0.123
27767.0,0.419,0.486
27768.0,0.015,0.177
27769.0,0.09,0.268
27770.0,0.001,0.658
27771.0,0.002,0.166
27772.0,0.117,0.457
27773.0,0.62,0.848
27774.0,0.014,0.691
27775.0,0.042,0.221
27776.0,0.947,0.793
27777.0,0.0,0.533
27778.0,0.061,0.565
27780.0,0.013,0.771
27781.0,0.026,0.374
27782.0,0.029,0.47
27784.0,0.973,0.039
27785.0,0.033,0.119
27786.0,0.765,0.912
27787.0,0.157,0.855
27789.0,0.358,0.179
27790.0,0.781,0.322
27793.0,0.006,0.042
27795.0,0.123,0.694
27800.0,0.013,0.182
27801.0,0.006,0.888
27802.0,0.96,0.957
27803.0,0.015,0.151
27804.0,0.271,0.72
27805.0,0.005,0.017
27807.0,0.694,0.533
27808.0,0.668,0.611
27809.0,0.105,0.923
27810.0,0.003,0.124
27811.0,0.009,0.559
27812.0,0.002,0.073
27813.0,0.024,0.281
27814.0,0.02,0.566
27815.0,0.995,0.78
27816.0,0.618,0.521
27817.0,0.008,0.151
27820.0,0.004,0.139
27821.0,0.249,0.757
27822.0,0.13,0.925
27823.0,0.067,0.18
27824.0,0.034,0.2
27825.0,0.787,0.333
27827.0,0.779,0.775
27828.0,0.763,0.285
27829.0,0.033,0.822
27830.0,0.022,0.323
27832.0,0.468,0.352
27834.0,0.92,0.843
27835.0,0.0,0.021
27836.0,0.092,0.628
27837.0,0.017,0.449
27838.0,0.0,0.02
27840.0,0.014,0.24
27842.0,0.304,0.8
27843.0,0.003,0.214
27844.0,0.452,0.912
27847.0,0.933,0.861
27849.0,0.0,0.043
27850.0,0.014,0.094
27851.0,0.071,0.159
27852.0,0.284,0.861
27853.0,0.009,0.349
27854.0,0.629,0.598
27855.0,0.005,0.115
27856.0,0.906,0.63
27857.0,0.012,0.695
27858.0,0.35,0.51
27859.0,0.006,0.069
27860.0,0.003,0.035
27861.0,0.001,0.676
27863.0,0.728,0.843
27864.0,0.449,0.711
27865.0,0.119,0.125
27866.0,0.57,0.633
27867.0,0.86,0.853
27868.0,0.064,0.286
27869.0,0.031,0.283
27870.0,0.942,0.919
27871.0,0.026,0.437
27873.0,0.0,0.262
27874.0,0.129,0.614
27875.0,0.159,0.148
27876.0,0.023,0.524
27880.0,0.005,0.159
27881.0,0.041,0.19
27883.0,0.05,0.322
27884.0,0.011,0.354
27885.0,0.002,0.06
27886.0,0.138,0.261
27887.0,0.184,0.434
27888.0,0.05,0.304
27889.0,0.008,0.24
27890.0,0.019,0.235
27891.0,0.0,0.125
27892.0,0.006,0.355
27894.0,0.84,0.921
27896.0,0.996,0.837
27898.0,0.0,0.393
27900.0,0.527,0.843
27901.0,0.0,0.072
27902.0,0.936,0.517
27906.0,0.006,0.203
27907.0,0.998,0.561
27908.0,0.732,0.592
27909.0,0.747,0.616
27911.0,0.029,0.222
27913.0,0.123,0.705
27915.0,0.816,0.755
27916.0,0.025,0.97
27918.0,0.19,0.269
27920.0,0.514,0.917
27921.0,0.95,0.527
27922.0,0.0,0.028
27923.0,0.876,0.683
27924.0,0.35,0.137
27925.0,0.317,0.487
27926.0,0.006,0.143
27927.0,0.007,0.02
27928.0,0.116,0.874
27929.0,0.0,0.046
27930.0,0.003,0.073
27931.0,0.528,0.57
27933.0,0.002,0.824
27935.0,0.539,0.349
27936.0,0.076,0.363
27937.0,0.402,0.798
27938.0,0.849,0.851
27939.0,0.024,0.376
27940.0,0.998,0.906
27941.0,0.534,0.129
27942.0,0.946,0.402
27943.0,0.933,0.657
27944.0,0.0,0.06
27945.0,0.128,0.059
27946.0,0.001,0.377
27948.0,0.002,0.775
27949.0,0.0,0.089
27950.0,0.004,0.169
27951.0,0.369,0.751
27952.0,0.967,0.284
27953.0,0.013,0.803
27954.0,0.486,0.236
27955.0,0.966,0.687
27956.0,0.0,0.144
27957.0,0.0,0.396
27959.0,0.225,0.21
27960.0,0.926,0.187
27961.0,0.289,0.528
27962.0,0.053,0.23
27964.0,0.0,0.043
27965.0,0.962,0.872
27966.0,0.002,0.318
27967.0,0.0,0.245
27968.0,0.072,0.351
27969.0,0.69,0.572
27970.0,0.001,0.104
27971.0,0.031,0.439
27972.0,0.009,0.244
27973.0,0.002,0.385
27975.0,0.998,0.942
27976.0,0.029,0.523
27978.0,0.947,0.939
27979.0,0.0,0.102
27980.0,0.517,0.84
27981.0,0.011,0.441
27982.0,0.029,0.476
27983.0,0.97,0.932
27984.0,0.0,0.119
27985.0,0.022,0.105
27986.0,0.0,0.334
27987.0,0.008,0.192
27990.0,0.043,0.976
27992.0,0.077,0.369
27994.0,0.34,0.094
27995.0,0.14,0.502
27996.0,0.497,0.133
27997.0,0.003,0.1
27998.0,0.0,0.127
27999.0,0.034,0.277
28001.0,0.0,0.335
28002.0,0.0,0.105
28003.0,0.006,0.335
28004.0,0.995,0.765
28008.0,0.891,0.844
28009.0,0.362,0.165
28010.0,0.401,0.781
28012.0,0.08,0.598
28013.0,0.99,0.886
28017.0,0.0,0.075
28018.0,0.038,0.185
28019.0,0.206,0.802
28020.0,0.0,0.183
28021.0,0.959,0.67
28022.0,0.439,0.966
28023.0,0.865,0.775
28024.0,0.07,0.23
28025.0,0.998,0.924
28026.0,0.001,0.032
28028.0,0.0,0.02
28030.0,0.05,0.246
28031.0,0.0,0.313
28032.0,0.052,0.079
28033.0,0.0,0.187
28034.0,0.481,0.284
28035.0,0.048,0.693
28036.0,0.046,0.136
28037.0,0.994,0.882
28038.0,0.004,0.102
28039.0,0.994,0.92
28040.0,0.005,0.04
28041.0,0.241,0.922
28042.0,0.716,0.401
28043.0,0.0,0.276
28044.0,0.935,0.92
28047.0,0.208,0.958
28048.0,0.011,0.868
